timestamp,sensor_id,temperature,humidity
01-02-2025 00:00,S2,24,40
01-02-2025 01:00,S3,30,
01-02-2025 02:00,S1,24,50
01-02-2025 03:00,S2,24,
01-02-2025 04:00,S3,23,42
01-02-2025 05:00,S3,,40
01-02-2025 06:00,S2,24,45
01-02-2025 07:00,S3,,45
01-02-2025 08:00,S1,24,
01-02-2025 09:00,S2,22,
01-02-2025 10:00,S1,,50
01-02-2025 11:00,S2,23,
01-02-2025 12:00,S3,23,42
01-02-2025 13:00,S1,22,45
01-02-2025 14:00,S1,24,42
01-02-2025 15:00,S1,23,50
01-02-2025 16:00,S2,30,50
01-02-2025 17:00,S2,22,50
01-02-2025 18:00,S3,,50
01-02-2025 19:00,S2,30,42
01-02-2025 20:00,S3,22,45
01-02-2025 21:00,S1,22,40
01-02-2025 22:00,S2,22,45
01-02-2025 23:00,S3,,42
02-02-2025 00:00,S3,22,40
02-02-2025 01:00,S1,22,50
02-02-2025 02:00,S3,22,45
02-02-2025 03:00,S3,,40
02-02-2025 04:00,S2,24,50
02-02-2025 05:00,S1,,
02-02-2025 06:00,S1,22,40
02-02-2025 07:00,S2,30,
02-02-2025 08:00,S3,23,40
02-02-2025 09:00,S3,24,42
02-02-2025 10:00,S1,23,40
02-02-2025 11:00,S2,30,40
02-02-2025 12:00,S3,23,
02-02-2025 13:00,S1,23,
02-02-2025 14:00,S3,,42
02-02-2025 15:00,S2,30,50
02-02-2025 16:00,S1,23,50
02-02-2025 17:00,S1,,40
02-02-2025 18:00,S1,22,45
02-02-2025 19:00,S2,23,
02-02-2025 20:00,S2,22,
02-02-2025 21:00,S3,30,42
02-02-2025 22:00,S1,23,40
02-02-2025 23:00,S1,30,40
03-02-2025 00:00,S3,22,50
03-02-2025 01:00,S2,24,40
